"id","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle","HEIGHT","TEMP"
"Khani1",255052.413961122,4089296.92974055,2013-06-17 19:30:43,-31.4419698285055,-564.387820744887,565.262956217599,32420,862207328.54956,-1.62644866630199,2.00753757598642,2980.85,16
"Khani1",255020.971991294,4088732.5419198,2013-06-18 04:31:03,415.268251627771,-2799.55395540036,2830.18551865559,53980,867932911.115504,-1.4235363901979,0.202912276104092,3002.84,17
"Khani1",255436.240242922,4085932.9879644,2013-06-18 19:30:43,381.139807906671,-271.945154367946,468.211191830503,10802,872541361.62173,-0.619732328179986,0.803804062017915,4187.13,12
"Khani1",255817.380050828,4085661.04281003,2013-06-18 22:30:45,860.333373425907,105.267663048115,866.749556858273,10799,854350251.387018,0.121751646225331,0.741483974405317,4371.35,9
"Khani1",256677.713424254,4085766.31047308,2013-06-19 01:30:44,1781.50825727335,-815.982150251511,1959.48935701683,10799,804755767.221985,-0.429510612367472,-0.551262258592803,4612.92,8
"Khani1",258459.221681528,4084950.32832283,2013-06-19 04:30:43,1084.04555087278,-2111.88275573496,2373.85836357979,21600,721296684.85704,-1.09655937232291,-0.667048759955442,4173.46,9
"Khani1",259543.2672324,4082838.4455671,2013-06-19 10:30:43,43.6775154053757,29.8608483937569,52.9093150473692,10800,702744939.031579,0.599679476860922,1.69623884918384,4045.42,27
"Khani1",259586.944747806,4082868.30641549,2013-06-19 13:30:43,14.8270359240123,-43.7299917014316,46.1752441087129,10813,700015312.776363,-1.24390178650023,-1.84358126336115,4017.51,31
"Khani1",259601.77178373,4082824.57642379,2013-06-19 16:30:56,1181.15925554049,-1059.41711592488,1586.66373641788,10787,700125118.827681,-0.731116351812278,0.512785434687947,4017.28,15
"Khani1",260782.93103927,4081765.15930786,2013-06-19 19:30:43,-274.538253392355,1565.79390645027,1589.67978223683,10802,664843363.69402,1.74436688317572,2.475483234988,4222.82,15
"Khani1",260508.392785878,4083330.95321431,2013-06-19 22:30:45,-386.130227166257,2254.16510888981,2286.99735252747,10847,646761254.927379,1.74044613907652,-0.00392074409919974,4029.98,14
"Khani1",260122.262558712,4085585.1183232,2013-06-20 01:31:32,829.44534818281,659.611910535488,1059.74877123891,10751,629165945.408317,0.671834556887353,-1.06861158218917,4132.67,13
"Khani1",260951.707906894,4086244.73023374,2013-06-20 04:30:43,-7.45632532140007,-43.1010449570604,43.7412489955316,32409,581202733.032776,-1.74209726442641,-2.41393182131376,4344.79,10
"Khani1",260944.251581573,4086201.62918878,2013-06-20 13:30:52,38.6378794046468,10.0186184332706,39.9156415481387,10792,582087773.354067,0.253707815779497,1.9958050802059,4325.46,17
"Khani1",260982.889460978,4086211.64780721,2013-06-20 16:30:44,-988.699979939382,18.9786251117475,988.882115594809,10800,580163390.235488,3.12239947567631,2.86869165989682,4329.77,18
"Khani1",259994.189481038,4086230.62643233,2013-06-20 19:30:44,-1374.90538117848,-481.912653173786,1456.91613090203,21600,626902459.968473,-2.80446708202068,0.356318749482597,3820.71,16
"Khani1",258619.28409986,4085748.71377915,2013-06-21 01:30:44,-1841.79007944142,761.047581157647,1992.83318858221,10799,701713962.727894,2.7497497730102,-0.728968452148707,3828.58,7
"Khani1",256777.494020418,4086509.76136031,2013-06-21 04:30:43,-2569.50046814638,971.296631644014,2746.9528212999,10794,789864338.728348,2.78018577600042,0.0304360029902213,4358.91,10
"Khani1",254207.993552272,4087481.05799195,2013-06-21 07:30:37,227.66175375582,-331.989898203406,402.55082490573,21637,927006483.898128,-0.969698934055715,2.53330059712345,3646.06,21
"Khani1",254435.655306028,4087149.06809375,2013-06-21 13:31:14,-29.7703873917635,-42.4530047867447,51.8510711642396,10769,916797881.677794,-2.18236416371349,-1.21266522965778,3597.59,39
"Khani1",254405.884918636,4087106.61508896,2013-06-21 16:30:43,-423.760250714869,-495.28754382208,651.830116787524,32400,919026361.552802,-2.27852344930023,-0.0961592855867353,3642.69,33
"Khani1",253982.124667921,4086611.32754514,2013-06-22 01:30:43,436.218965652777,-184.760345507413,473.733439042672,10800,950043305.521559,-0.400641459928878,1.87788198937135,3267.84,16
"Khani1",254418.343633574,4086426.56719963,2013-06-22 04:30:43,1039.31447694055,839.622884891462,1336.09175239265,10800,926026493.794866,0.679516617361747,1.08015807729062,3519.58,17
"Khani1",255457.658110515,4087266.19008453,2013-06-22 07:30:43,-43.6310994418163,64.5596511261538,77.9206095460781,10859,855681735.048765,2.16511332209844,1.48559670473669,4010.94,18
"Khani1",255414.027011073,4087330.74973565,2013-06-22 10:31:42,9.4486877626041,-43.5850772899576,44.5974961495234,10741,857529234.575878,-1.35731253921833,2.76075944586281,3959.79,15
"Khani1",255423.475698835,4087287.16465836,2013-06-22 13:30:43,64.5885128842783,74.7717223064974,98.8052956742833,10819,857433506.826921,0.858339653556477,2.21565219277481,3940.53,20
"Khani1",255488.06421172,4087361.93638067,2013-06-22 16:31:02,1366.39826236997,621.578760086559,1501.13435987536,10781,852946646.633002,0.426923830514961,-0.431415823041517,3939.32,22
"Khani1",256854.46247409,4087983.51514076,2013-06-22 19:30:43,381.480042152689,522.164509485476,646.670547904437,10819,770275787.845509,0.939843933834231,0.512920103319271,3795.28,17
"Khani1",257235.942516242,4088505.67965024,2013-06-22 22:31:02,1064.42679118691,1615.4985269364,1934.64205586722,10781,745121288.178211,0.98820080923831,0.0483568754040788,3420.19,19
"Khani1",258300.369307429,4090121.17817718,2013-06-23 01:30:43,2087.17793588288,312.857777520549,2110.49561122297,10800,678589778.825058,0.14878736938737,-0.83941343985094,3299.91,19
"Khani1",260387.547243312,4090434.0359547,2013-06-23 04:30:43,894.799420278898,-487.198250880931,1018.83665923095,10800,573278764.279781,-0.498593488649196,-0.647380858036567,3590.33,16
"Khani1",261282.346663591,4089946.83770382,2013-06-23 07:30:43,-345.905110172083,-1075.26192228543,1129.53023277826,32400,533595681.815025,-1.88203499478015,-1.38344150613095,3892.9,29
"Khani1",260936.441553419,4088871.57578153,2013-06-23 16:30:43,1350.22877235516,-439.915274953004,1420.08562658478,10800,556161737.032631,-0.314962493003399,1.56707250177675,4306.94,18
"Khani1",262286.670325774,4088431.66050658,2013-06-23 19:30:43,1049.61407099693,1984.049214656,2244.58035815425,10830,498391953.921884,1.08419827888974,1.39916077189314,4221.5,15
"Khani1",263336.284396771,4090415.70972123,2013-06-23 22:31:13,-230.020921165182,670.507994931657,708.865710442358,10770,441350128.354461,1.90127045057699,0.817072171687254,3715.91,17
"Khani1",263106.263475606,4091086.21771617,2013-06-24 01:30:43,12.811590133002,11.8580578533001,17.4571010705743,10800,448730133.708123,0.746765352236526,-1.15450509834047,3627.21,14
"Khani1",263119.075065739,4091098.07577402,2013-06-24 04:30:43,-10.9990631851833,-10.7981395134702,15.413604636944,21600,448156219.531622,-2.3654120941215,-3.11217744635803,3639.33,15
"Khani1",263108.076002554,4091087.27763451,2013-06-24 10:30:43,44.6726558288792,-220.019420005847,224.508777909717,10800,448650597.276343,-1.37047978688649,0.994932307235014,3628.69,20
"Khani1",263152.748658382,4090867.2582145,2013-06-24 13:30:43,-543.11944595963,-548.970227354206,772.235095745346,32431,447416544.393958,-2.35083712297035,-0.98035733608386,3632.55,30
"Khani1",262609.629212423,4090318.28798715,2013-06-24 22:31:14,334.854972822766,178.318880539853,379.375112495696,21596,472672695.765965,0.489328339173752,2.8401654621441,3196.68,21
"Khani1",262944.484185246,4090496.60686769,2013-06-25 04:31:10,-7.21967972058337,-3.12990170205012,7.86893003732395,10774,457563456.763509,-2.73252463015993,3.0613323378459,3422.89,19
"Khani1",262937.264505525,4090493.47696598,2013-06-25 07:30:44,-14.7654836105066,-81.7661007880233,83.0885957537455,43254,457883373.446361,-1.74945291430643,0.983071715853501,3401.57,20
"Khani1",262922.499021914,4090411.7108652,2013-06-25 19:31:38,1081.26397989917,410.738081238698,1156.64928375331,10745,458841091.771301,0.363032061257254,2.11248497556369,3406.91,23
"Khani1",264003.763001814,4090822.44894643,2013-06-25 22:30:43,98.6279353634454,-43.8311262889765,107.928852795794,10800,412386020.344881,-0.418194597153228,-0.781226658410483,4117.92,15
"Khani1",264102.390937177,4090778.61782015,2013-06-26 01:30:43,3038.76051081764,412.457864521071,3066.62468067254,10800,408548526.279635,0.134907822039566,0.553102419192795,4168.62,17
"Khani1",267141.151447995,4091191.07568467,2013-06-26 04:30:43,2252.21187646489,-45.9637612798251,2252.68084819854,32400,294149091.826514,-0.0204054432386886,-0.155313265278255,4141.2,13
"Khani1",269393.36332446,4091145.11192339,2013-06-26 13:30:43,1319.64081319235,476.152535017114,1402.91593206656,10800,222297658.517983,0.346281135005542,0.36668657824423,4676,31
"Khani1",270713.004137652,4091621.2644584,2013-06-26 16:30:43,771.028883998981,1688.16365450481,1855.9046485075,10801,183816265.761308,1.14236283556544,0.7960817005599,4037.22,23
"Khani1",271484.033021651,4093309.42811291,2013-06-26 19:30:44,0.920403408585116,1.08563583344221,1.42328760178288,10799,163562025.982906,0.86758014034762,-0.274782695217822,3386.03,22
"Khani1",271484.95342506,4093310.51374874,2013-06-26 22:30:43,1180.29666200501,-1047.7707040268,1578.26602908286,10797,163540382.156616,-0.725987930494147,-1.59356807084177,3381.3,21
"Khani1",272665.250087065,4092262.74304471,2013-06-27 01:30:40,-1337.71630708326,-2611.32570701931,2934.02570990378,10804,134127771.65755,-2.0442154713998,-1.31822754090565,3382.28,20
"Khani1",271327.533779981,4089651.4173377,2013-06-27 04:30:44,7.48573592858156,13.1235899669118,15.108436583978,10847,174746770.987447,1.05242362884254,3.09663910024234,3686.9,17
"Khani1",271335.01951591,4089664.54092766,2013-06-27 07:31:31,-7.18683039658936,-2.02728053648025,7.46728849870771,21600,174479891.285472,-2.8666537078329,2.36410797050415,3687.53,30
"Khani1",271327.832685513,4089662.51364713,2013-06-27 13:31:31,1773.51422458654,-2191.80317775346,2819.45985515329,21546,174676843.743622,-0.890496365377305,1.97615734245559,3688.25,25
"Khani1",273101.3469101,4087470.71046937,2013-06-27 19:30:37,2755.99054148491,-451.805842328351,2792.7786134809,21600,149071683.145842,-0.162490562974483,0.728005802402822,3865.56,16
"Khani1",275857.337451585,4087018.90462704,2013-06-28 01:30:37,4281.92308000813,819.698448666837,4359.67553951588,10806,99956418.9758263,0.189143992809384,0.351634555783867,4005.77,14
"Khani1",280139.260531593,4087838.60307571,2013-06-28 04:30:43,3311.56285092753,214.712859573308,3318.51625394684,10866,38213170.2553939,0.0647466922121359,-0.124397300597248,5480.84,4
"Khani1",283450.82338252,4088053.31593528,2013-06-28 07:31:49,-236.091098142148,-202.71729078982,311.180504863543,10766,20048866.0516978,-2.43210388701211,-2.49685057922425,5481.83,19
"Khani1",283214.732284378,4087850.59864449,2013-06-28 10:31:15,258.294844986638,24.5003354586661,259.454222136119,21562,22307254.9995339,0.0945711888892094,2.52667507590132,4637.32,19
