id,alt,date,InBurrow,x,y
tm2,93.79,13/11/2014 18:23,0,451739.968,7973763.225
tm2,90.65,13/11/2014 18:28,0,451738.797,7973766.541
tm2,90.27,13/11/2014 18:33,0,451731.499,7973769.51
tm2,82.3,13/11/2014 18:38,0,451736.364,7973767.642
tm2,85.18999,13/11/2014 18:43,0,451739.956,7973768.093
tm2,77.05,13/11/2014 18:47,0,451728.337,7973766.183
tm2,69.89,13/11/2014 18:52,0,451737.95,7973767.424
tm2,154.26,13/11/2014 19:03,0,451708.078,7973796.449
tm2,139.88,13/11/2014 19:18,0,451712.537,7973788.272
tm2,106.17,13/11/2014 19:35,0,451705.736,7973761.037
tm2,104.66,13/11/2014 19:43,0,451712.629,7973751.318
tm2,106.97,13/11/2014 19:48,0,451714.634,7973752.65
tm2,100.97,13/11/2014 19:52,0,451716.639,7973753.43
tm2,88.59,13/11/2014 19:57,0,451713.451,7973760.614
tm2,101.64,13/11/2014 20:02,0,451722.663,7973753.224
tm2,89.04,13/11/2014 20:07,0,451733.249,7973745.727
tm2,93.92,13/11/2014 20:12,0,451725.984,7973735.087
tm2,110.42,13/11/2014 20:17,0,451738.457,7973733.458
tm2,87.87,13/11/2014 20:21,0,451725.122,7973741.834
tm2,88.35,13/11/2014 20:26,0,451743.735,7973736.016
tm2,92.63,13/11/2014 20:31,0,451744.468,7973738.342
tm2,106.52,13/11/2014 20:36,0,451741.725,7973736.786
tm2,106.14,13/11/2014 20:41,0,451748.918,7973733.927
tm2,97.86,13/11/2014 20:45,0,451749.416,7973703.723
tm2,84.54,13/11/2014 20:50,0,451756.249,7973717.902
tm2,86.78,13/11/2014 20:55,0,451765.994,7973708.411
tm2,107.96,13/11/2014 21:00,0,451743.41,7973696.958
tm2,107.78,13/11/2014 21:05,0,451758.67,7973721.67
tm2,108.2,13/11/2014 21:11,0,451774.693,7973737.311
tm2,108.2,13/11/2014 21:18,0,451774.693,7973737.311
tm2,107.93,13/11/2014 21:23,0,451767.117,7973724.457
tm2,108.54,13/11/2014 21:29,0,451773.116,7973733.988
tm2,108.38,13/11/2014 21:37,0,451790.019,7973735.468
tm2,108.17,13/11/2014 21:46,0,451786.36,7973761.903
tm2,90.07,13/11/2014 21:55,0,451762.604,7973754.209
tm2,92.62,13/11/2014 22:06,0,451771.058,7973754.23
tm2,112.54,13/11/2014 22:20,0,451798.77,7973785.501
tm2,103.12,13/11/2014 22:45,0,451788.522,7973869.232
tm2,37.71,13/11/2014 22:50,0,451753.42,7973877
tm2,91.85,13/11/2014 22:59,0,451777.21,7973871.306
tm2,60.36,13/11/2014 23:12,0,451745.42,7973864.477
tm2,113,13/11/2014 23:25,0,451805.908,7973846.926
tm2,94.73,13/11/2014 23:29,0,451817.608,7973858.794
tm2,91.57999,13/11/2014 23:34,0,451816.722,7973875.056
tm2,139.37,13/11/2014 23:51,0,451849.885,7973839.623
tm2,108.16,14/11/2014 00:01,0,451780.296,7973778.484
tm2,49.45,14/11/2014 00:11,0,451722.278,7973780.441
tm2,56.41,14/11/2014 00:19,0,451726.3,7973777.685
tm2,124.9,14/11/2014 00:24,0,451779.954,7973746.176
tm2,85.64,14/11/2014 00:49,0,451808.5,7973782.206
tm2,101.55,14/11/2014 01:04,1,451781.6142,7973881.277
tm2,129.01,14/11/2014 09:14,0,451719.651,7973985.125
tm2,129.01,14/11/2014 09:19,0,451719.651,7973985.125
tm2,96.88,14/11/2014 09:24,0,451777.979,7973901.735
tm2,41.17,14/11/2014 09:29,0,451776.376,7973908.923
